,group,PBID,mon,tue,wed,thu,fri,sat,sun,total-brushes,twice-brushes,avg-brush-time
0,D,PB2500036964,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,3,82.35833333333333
1,D,PB2500036963,0.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,2,26.775000000000006
2,C,PB2500036880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,A,PB2500036873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,C,PB2500036788,2.0,2.0,2.0,2.0,2.0,1.0,2.0,13.0,6,79.2076923076923
5,D,PB2500036764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,37.0
6,C,PB2500036703,0.0,0.0,0.0,1.0,2.0,2.0,2.0,7.0,3,45.57857142857143
7,B,PB2500036671,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0,49.5
8,D,PB2500036660,0.0,0.0,2.0,2.0,2.0,2.0,2.0,10.0,5,81.84
9,C,PB2500036626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,A,PB2500036593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,30.05
11,B,PB2500036585,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0,28.525
12,C,PB2500036366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,88.99999999999999
13,D,PB2500035523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
14,A,PB2500035486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
15,D,PB2500035479,0.0,0.0,0.0,2.0,1.0,2.0,1.0,6.0,2,56.44166666666666
16,B,PB2500035411,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,1,49.87
17,D,PB2500035373,1.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,6,43.43846153846153
18,B,PB2500035330,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,20.95
19,D,PB2500035317,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,2,72.175
20,B,PB2500035308,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,34.025
21,B,PB2500035239,1.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,1,81.35000000000001
22,C,PB2500035170,0.0,1.0,2.0,2.0,1.0,1.0,2.0,9.0,3,74.22222222222223
23,A,PB2500035145,0.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1,75.69166666666666
24,D,PB2500035119,0.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,1,51.46
25,C,PB2500034972,0.0,1.0,2.0,2.0,2.0,2.0,1.0,10.0,4,107.525
26,B,PB2500034959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
27,C,PB2500034890,0.0,0.0,0.0,1.0,2.0,2.0,2.0,7.0,3,47.17142857142858
28,A,PB2500034873,1.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,1,66.28333333333333
29,D,PB2500034872,1.0,1.0,2.0,1.0,1.0,2.0,1.0,9.0,2,49.38333333333333
30,A,PB2500034769,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,47.475
31,C,PB2500034762,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2,64.525
32,D,PB2500034756,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1,71.36666666666667
33,B,PB2500034402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,24.0
34,D,PB2500030280,0.0,1.0,2.0,0.0,2.0,2.0,1.0,8.0,3,46.868750000000006
35,A,PB2500030275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,24.0
36,A,PB2500029963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
37,C,PB2500029848,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,2,77.15
38,B,PB2500029755,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,52.99999999999999
39,B,PB2500029572,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,30.525
40,A,PB2500029535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,35.00000000000001
41,D,PB2500029526,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1,72.525
42,D,PB2500029510,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,25.0
43,A,PB2500029467,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1,29.71666666666667
